id	name_eng	titolo_eng	name_ita	desc_ita
10	Alpha wave	Wave with duration of 1/8–1/13 s (77–125 ms).	Onda alfa	Onda con durata di 1/8-1/13 s (77-125 ms).
11	Amplitude, EEG	Is a measure of the change of EEG signals with respect to the mean value, usually measured in microvolts (µV), and often expressed as the difference between the maximum and minimum deviation (i.e. peak-to-peak), or in rectified EEG from baseline-to-peak. For a variable EEG activity or modulating sinusoidal rhythm a range can be provided. Comment: EEG amplitude depicts the difference in electrical potential between electrode pairs. Size of the output deflections are dependent upon the method of derivation (i.e. montage), inter-electrode distance, and may be distorted by intervening structures, particularly the skull. Synonym: in practice voltage is synonymous with EEG amplitude, and the visual size of waveforms can be manipulated by the display gain (see voltage and display gain).	Ampiezza, EEG	È una misura della variazione dei segnali EEG rispetto al valore medio, di solito misurata in microvolt (µV), e spesso espressa come la differenza tra la deviazione massima e minima (cioè picco-picco), o nell’EEG rettificato dalla linea di base al picco. Quando l'attività EEG o un ritmo sinusoidale sono variabili, si può far riferimento a un intervallo di valori. Commento: l'ampiezza EEG descrive la differenza di potenziale elettrico tra una coppia di elettrodi. Le dimensioni delle deflessioni in uscita dipendono dal metodo di derivazione (cioè dal montaggio), dalla distanza tra gli elettrodi e possono essere distorte dalle strutture frapposte tra la corteccia e l'elettrodo esplorante, soprattutto dalle ossa del cranio. Sinonimo: in pratica il voltaggio è sinonimo di ampiezza, e la dimensione con cui vediamo i grafoelementi può essere manipolata modificando il display gain (vedi tensione e display gain).
12	Amplitude-integrated EEG (aEEG)	Involves customized display of EEG activity following signal processing which includes an asymmetric band-pass filter (2–15 Hz), logarithmic amplitude display, rectification, smoothing and time compression (such that several hours can be viewed on a screen). Widely used in neonatal intensive care unit monitoring, for example of infants suffering an hypoxic ischemic encephalopathy. Comment: concurrent review of conventional raw EEG traces is recommended. Synonym: cerebral function monitor (CFM).	EEG integrato in ampiezza (aEEG, amplitude-integrated EEG)	Permette di modificare la visualizzazione dell'attività EEG, dopo l'iniziale elaborazione del segnale, che include: un filtro passa-banda asimmetrico (2-15 Hz), la visualizzazione logaritmica dell'ampiezza, la rettifica, lo smussamento e la compressione temporale (per permettere, per esempio, la visualizzazione di diverse ore di registrazione sulla stessa pagina dello schermo). Ampiamente utilizzato nel monitoraggio in terapia intensiva neonatale, per esempio dei neonati con encefalopatia ipossico-ischemica. Commento: si raccomanda l’analisi concomitante delle tracce EEG convenzionali. Sinonimo: monitoraggio della funzione cerebrale (CFM, cerebral function monitoring).
13	Analog-to-digital conversion (AD conversion)	Transformation of a continuous, analog signal EEG into its digital representation (a discontinuous series of discrete amplitudes). AD conversion is characterized by the sampling rate, which is the number of times per second at which the signal is transformed into digits, and the amplitude resolution, the number of numerical values which can be distinguished within the dynamic range of the system (usually expressed as the number of binary digits). (See sampling rate).	Conversione analogico-digitale (conversione AD)	Trasformazione di un segnale analogico continuo EEG nella sua rappresentazione digitale (una serie discontinua di ampiezze discrete). La conversione AD è caratterizzata da una frequenza di campionamento, che corrisponde al numero di volte al secondo in cui il segnale elettrico in ingresso viene tradotto in sequenza numerica; la risoluzione di ampiezza, ossia il numero di valori numerici che possono essere distinti all'interno della gamma dinamica del sistema (è solitamente espresso in cifre binarie). (Vedi frequenza di campionamento).
14	Anterior (slow) dysrhythmia	A normal EEG activity seen in term and near term infants at 32–44 weeks of post menstrual age; characterized by bilateral frontal delta waves (50–100 µV), seen in isolation or brief runs, typically synchronously and symmetrically.	Disritmia lenta anteriore	Un'attività EEG normale osservata nei neonati a termine e quasi a termine, a 32-44 settimane di età gestazionale; caratterizzata da onde delta sulle derivazioni frontali, bilaterali (ampiezza 50-100 µV), isolate o raggruppate in brevi sequenze, tipicamente sincrone e simmetriche.
15	Application, electrode	The process of establishing fixation and electrical connection between an electrode and the subject’s scalp or brain.	Applicazione, elettrodo	Il processo con cui si fissa un elettrodo stabilendo un contatto con lo scalpo o il tessuto cerebrale del soggetto.
16	Arrhythmic activity	A sequence of EEG waves with an inconstant periodicity. (See rhythmic).	Attività aritmica	Una sequenza di onde EEG con una periodicità incostante. (Vedi ritmico).
17	Arousal	Change from a lower to a higher level of alertness as manifest in EEG activity.	Risveglio	Attività EEG che compare in relazione al passaggio da un livello di vigilanza inferiore ad uno più alto.
18	Array, electrode	A regular arrangement of electrodes over the scalp or brain, or within the brain substance. Synonym: electrode montage.	Matrice, elettrodo	Concatenamento/disposizione regolare di elettrodi sullo scalpo, sulla superficie corticale o all'interno del cervello. Sinonimo: montaggio degli elettrodi.
19	Artifact	(1) A physiological potential difference due to an extracerebral source present in EEG recordings, such as eye blinks and movements, electrocardiogram (ECG) or muscle contractions (EMG). (2) A modification of the EEG caused by extracerebral factors, such as instrumental distortion or malfunction, movement of the patient, or ambient electrical noise.	Artefatto	(1) una differenza di potenziale di origine biologica, presente nelle registrazioni EEG, dovuta a una fonte extracerebrale, come l'apertura/chiusura degli occhi od altri movimenti oculari, l'elettrocardiogramma (ECG) o le contrazioni muscolari (EMG); (2) una modificazione dell'EEG causata da fattori extracerebrali, come distorsione o malfunzionamento strumentale, movimento del paziente o interferenza elettrica ambientale.
20	Asymmetry	Unequal amplitude, frequency or morphology of EEG activity in channels over homologous areas of the two hemispheres. To be considered abnormal in practice if the amplitude difference exceeds 50% or frequency difference is equal to or greater than 1 Hz in the posterior dominant rhythm, although it should be recognized that these are essentially arbitrary values. It can be quantified by quantitative EEG (qEEG) measures, such as the Brain Symmetry Index (BSI). (See quantitative EEG).	Asimmetria	Differente ampiezza, frequenza o morfologia dell'attività EEG sulle derivazioni corrispondenti ad aree omologhe dei due emisferi. Dal punto di vista pratico è da considerarsi anormale se la differenza di ampiezza supera il 50% o se la differenza di frequenza è uguale o superiore a 1 Hz nel ritmo dominante posteriore, sebbene si tratti di parametri arbitrari. Può essere calcolata attraverso sistemi di misurazioni EEG quantitativi (qEEG, quantitative EEG) come il Brain Symmetry Index (BSI). (Vedi EEG quantitativo).
21	Asynchrony	The non-coherent occurrence of EEG activities over regions on the same or opposite sides (hemispheres) of the head. For example, two similar waveforms occurring at separate electrodes or channels, but not simultaneously due to a time lag between the channels.	Asincronia	La presenza di attività EEG, non temporalmente sincrone tra loro, su regioni dello stesso lato o sui due emisferi. Per esempio, due onde di morfologia simile, registrate su elettrodi o derivazioni separati, ma che non sono attribuibili al semplice ritardo di fase temporale tra canali contigui.
22	Attenuation	Reduction in amplitude of EEG activity (for example, the alpha rhythm is usually attenuated or blocked on eye opening). May occur transiently in response to a physiological or other stimulus, such as electrical stimulation of the brain, or more permanently as a result of pathological conditions, such as cerebral atrophy or ischemia.	Attenuazione	Riduzione dell'ampiezza dell'attività EEG (per esempio, il ritmo alfa è solitamente attenuato o bloccato dall'apertura degli occhi). Può verificarsi solo transitoriamente in risposta a uno stimolo fisiologico o di altra natura, come la stimolazione elettrica del cervello, o permanentemente, come risultato di condizioni patologiche quali l'atrofia cerebrale o l'ischemia.
23	Auditory evoked potential (AEP)	Evoked potential in response to auditory stimulus (see evoked potential, brainstem auditory evoked potential).	Potenziale evocato uditivo (AEP, auditory evoked potential)	Potenziale evocato in risposta ad uno stimolo uditivo (vedi potenziale evocato, potenziale evocato uditivo del tronco encefalico).
24	Augmentation	Increase in amplitude of EEG activity (for example the alpha rhythm is characteristically augmented upon closing the eyes).	Rinforzo	Aumento dell'ampiezza dell'attività EEG (per esempio l'ampiezza del ritmo alfa è caratteristicamente maggiore in coincidenza della chiusura degli occhi).
25	Average (potential) reference electrode	Use of term discouraged. Term suggested: common average reference. Synonym: Goldman-Offner reference (use of term also discouraged).	Elettrodo di referenza media (di potenziale)	L'uso del termine è sconsigliato. Termine suggerito: referenza media comune. Sinonimo: referenza di Goldman-Offner (anche l'uso di questo termine è sconsigliato).
26	Background activity	Any underlying EEG activity representing the setting in which focal or transient activity, either normal or abnormal, appears and from which such underlying pattern is distinguished. Comment: there may be no background activity and it is not a synonym of an individual rhythm, such as the alpha rhythm. Synonym: on-going activity.	Attività di fondo	Qualsiasi attività EEG che costituisca il contesto di base su cui si inscrivono, distinguendosi, l'attività focale o transitoria, normale o anormale. Commento: può non esserci attività di fondo e non è un sinonimo di un ritmo individuale/specifico, come il ritmo alfa. Sinonimo: attività in corso.
27	Background slowing	The frequency of the background rhythm which is below the normal value for age and state. Comment: not to be confused with slowing of the posterior dominant rhythm.	Rallentamento di fondo	Frequenza del ritmo di fondo al di sotto del valore normale per età e stato. Commento: da non confondere con il rallentamento del ritmo dominante posteriore.
28	Band	Range of EEG frequency in a spectrum for a given recording or epoch, i.e. delta, theta, alpha, beta, gamma bands and high frequency oscillations.	Banda	Intervallo di frequenze EEG in cui vengono classificate le attività elettriche rilevate in una data registrazione o epoca, per esempio bande delta, theta, alfa, beta, gamma e oscillazioni ad alta frequenza.
29	Bandwidth	The stated range of frequencies (for example 1–70 Hz) between which the response of an EEG channel is within, determined largely by the filters (see frequency response).	Larghezza di banda	L'intervallo stabilito delle frequenze (es. 1-70 Hz) entro cui le attività elettriche vengono rilevate da un canale EEG; è determinata in gran parte dai filtri (vedi risposta in frequenza).
30	Basal electrode	Any electrode located in proximity to the base of the skull (see foramen ovale electrode, nasopharyngeal electrode, sphenoidal electrode).	Elettrodo basale	Qualsiasi elettrodo situato in prossimità del basicranio (vedi elettrodo del forame ovale, elettrodo nasofaringeo, elettrodo sfenoidale).
31	Baseline	(1) Strictly: line obtained when an identical voltage is applied to the two input terminals of an EEG amplifier or the “zero amplitude value” (assumed or perceived) in a given EEG trace or epoch. (2) Loosely: imaginary line corresponding to the approximate mean values of the EEG activity assessed visually in an EEG derivation over a period of time.	Linea di base	(1) in senso stretto: la linea ottenuta quando un voltaggio identico è applicato ai due terminali di ingresso di un amplificatore EEG, o linea corrispondente al “valore di ampiezza zero” (presunto o percepito) in una data traccia o epoca EEG; (2) in senso lato: la linea immaginaria corrispondente ai valori medi approssimativi dell'attività EEG valutata visivamente in una derivazione EEG in un determinato periodo di tempo.
32	Benign epileptiform discharges of childhood	Use of term discouraged. Terms suggested, depending on topographical location, occipital, centro-temporal or rolandic spikes (see rolandic spikes).	Scariche epilettiformi benigne dell'infanzia	L'uso di questo termine è sconsigliato. Termini suggeriti, a seconda della localizzazione topografica: punte occipitali, centro-temporali o rolandiche (vedi punte rolandiche).
33	Benign epileptiform transient of sleep (BETS)	Use of term discouraged. A normal variant. Small sharp spikes of very short duration (<50 ms) and low amplitude (<50 µV), often followed by a small theta wave, occurring in the temporal regions during drowsiness and light sleep. Comment: this pattern is of no clinical significance and in spite of the name is in fact not epileptiform. Synonym: small sharp spikes (preferred term).	Transiente epilettiforme benigno del sonno (BETS, benign epileptiform transient of sleep)	Uso di questo termine sconsigliato. Variante fisiologica. Piccole punte aguzze di brevissima durata (<50 ms) e di bassa ampiezza (<50 µV), spesso seguite da una piccola onda theta, che si presentano sulle derivazioni temporali durante la sonnolenza e il sonno leggero. Commento: questo pattern non ha alcun significato clinico e, nonostante il nome, non è di fatto epilettiforme. Sinonimo: piccole punte aguzze (termine preferito).
34	Beta band	Frequency band of >13–30 Hz inclusive. Greek letter: β.	Banda beta	Banda di frequenza compresa tra i 13-30 Hz. Lettera greca: β.
35	Beta rhythm or activity	Any EEG rhythm between > 13 and 30 Hz (wave duration > 33–76 ms). Most characteristically recorded over the fronto-central regions of the head during wakefulness. Amplitude of fronto-central beta rhythm varies but is mostly below 30 µV. Blocking or attenuation of the beta rhythm by contralateral movement or tactile stimulation is especially obvious in electrocorticograms. Other beta rhythms are most prominent in other locations or are diffuse, and may be drug-induced (for example alcohol, barbiturates, benzodiazepines and intravenous anaesthetic agents).	Ritmo o attività beta	Ritmo EEG tra i 13 e 30 Hz (durata dell'onda 33-76 ms). Si registra più caratteristicamente sulle regioni fronto-centrali dello scalpo durante la veglia. L'ampiezza del ritmo beta fronto-centrale varia ma è per lo più inferiore a 30 µV. Il blocco o l'attenuazione del ritmo beta con il movimento o la stimolazione tattile controlaterale sono caratteristiche particolarmente evidenti negli elettrocorticogrammi. Altri ritmi beta sono per lo più evidenti in altre localizzazioni o sono diffusi, e possono essere indotti da farmaci (per esempio alcol, barbiturici, benzodiazepine e agenti anestetici endovenosi).
36	Bilateral	Involving both sides of the head (or body).	Bilaterale	Interessa entrambi i lati dello scalpo (o del corpo).
37	Bilateral independent periodic discharges (BIPDs)	BIPDs are 2 bilateral independent (i.e. asynchronous) surface-negative bi- or di-, tri- or poly-phasic complexes consisting of spike, sharp, or polyspike components, with variably following slow waves, lasting 60–600 ms (typically 200 ms) that occupy at least 50% of a standard 20 minute EEG. Amplitude ranges from 50 to 150 µV (occasionally up to 300 μV), which may be asymmetric, usually recurring at 0.5–2 c/s (but very occasionally with intervals of up to 10 s). BIPDs are broadly distributed and waveform morphology stays fairly constant for a given patient and EEG, with intervening background activity usually attenuated and slow. Most BIPDs are ephemeral phenomena that usually resolve within weeks. They occur with acute marked focal destructive lesions (for example cerebral infarcts, tumors or herpes simplex encephalitis) or more subacute/chronic pathologies (for example epilepsy and vascular compromise). Synonyms: bilateral independent periodic epileptiform discharges, cerebral bigeminy (use of terms discouraged). (See periodic discharges).	Scariche periodiche bilaterali indipendenti (BIPD, bilateral independent periodic discharges)	Le BIPD sono 2 complessi bilaterali indipendenti (cioè asincroni) bi-, di-, tri- o poli-fasici, prevalentemente (N.d.T.) negativi, con componenti a tipo punta, onda puntuta o polipunta, incostantemente seguiti da onde lente, della durata di 60-600 ms (in genere 200 ms), e che occupano almeno il 50% di un EEG standard di 20 minuti. L'ampiezza varia da 50 a 150 µV (occasionalmente fino a 300 μV), possono essere asimmetrici, solitamente ricorrenti a 0,5-2 Hz (ma molto occasionalmente con intervalli fino a 10 s). Le BIPD sono ampiamente distribuite e la morfologia dei grafoelementi rimane abbastanza costante per un dato paziente ed EEG, con la contestuale attività di fondo solitamente attenuata e lenta. La maggior parte delle BIPD sono fenomeni transitori che di solito si risolvono in poche settimane. Si verificano secondariamente a lesioni distruttive focali acute (per esempio infarti cerebrali, tumori o encefalite da herpes simplex) o a patologie più subacute/croniche (per esempio epilessia o insulto vascolare). Sinonimi: scariche epilettiformi periodiche bilaterali indipendenti; bigeminismi cerebrali (l'uso dei termini è sconsigliato). (Vedi scariche periodiche).
38	Bilateral independent periodic lateralized epileptiform discharges (BIPLEDs)	Use of term discouraged. See bilateral independent periodic discharges (preferred term).	Scariche epilettiformi periodiche lateralizzate bilaterali indipendenti (BIPLEDs, bilateral independent periodic lateralized epileptiform discharges)	L'uso del termine è sconsigliato. Vedi scariche periodiche bilaterali indipendenti (termine preferito).
39	Bin width	Time, usually expressed in milliseconds (ms), elapsing between two successive sampling points in digital EEG (see digital EEG). Synonym: ordinate period.	Larghezza del bin	Tempo, solitamente espresso in millisecondi (ms), che intercorre tra due punti di campionamento successivi nell'EEG digitale (vedi EEG digitale). Sinonimo: periodo ordinale.
40	Biological calibration	See calibration and common EEG input test.	Calibrazione biologica	Vedi calibrazione e test di ingresso EEG comune.
41	Biphasic wave	Complex consisting of two wave components developed on alternate sides of the baseline. Synonym: diphasic wave.	Onda bifasica	Complesso costituito da due componenti d'onda sviluppate sui lati alterni della linea di base. Sinonimo: onda difasica.
42	Bipolar derivation	(1) Recording from a pair of exploring electrodes. (2) Method of organizing the linkages of electrodes to recording channels. (See exploring electrode, bipolar montage, channel).	Derivazione bipolare	(1) registrazione da una coppia di elettrodi esploranti; (2) metodo di organizzazione dei collegamenti degli elettrodi ai canali di registrazione. (Vedi elettrodo esplorante, montaggio bipolare, canale).
43	Bipolar montage	Multiple bipolar channels, with no electrode being common to all channels. In most instances, bipolar channels are linked, i.e. adjacent channels from electrodes along the same line of electrodes, or chain, have one electrode in common; so the reference electrode (input terminal 2) in one channel becomes the exploring electrode (input terminal 1) in the next channel of the chain (see channel, reference and exploring electrode).	Montaggio bipolare	Montaggio con canali bipolari multipli, senza elettrodo comune a tutti i canali. Nella maggior parte dei casi, i canali bipolari sono collegati, ossia canali adiacenti connessi ad elettrodi lungo la stessa linea o catena, hanno un elettrodo in comune; così l'elettrodo di referenza (terminale di ingresso 2) in un canale diventa l'elettrodo esplorante (terminale di ingresso 1) nel canale successivo della catena (vedi canale, elettrodo di riferimento ed esplorante).
44	Blocking	(1) Apparent, temporary obliteration or attenuation of EEG rhythms in response to physiological or other stimuli, such as eye opening on alpha rhythm, or a change in state (see attenuation). (2) A condition of temporary EEG amplifier saturation, caused when the output voltages of the amplifier exceed its operating range sensitivity (see clipping).	Blocco	(1) apparente, temporanea scomparsa o attenuazione dei ritmi EEG in risposta a stimoli fisiologici o di altro tipo, come l'apertura degli occhi per il ritmo alfa, o un cambiamento di stato (vedi attenuazione); (2) una condizione di saturazione temporanea dell'amplificatore EEG, che si verifica quando i voltaggi di uscita superano la dinamica dell'amplificatore (vedi clipping).
45	Brainstem auditory evoked potential (BAEP)	Far-field auditory evoked potentials generated largely in the brainstem in response to click stimulus and recorded from the surface as a result of volume conduction (see evoked potential, far-field potential, volume conduction).	Potenziale evocato uditivo del tronco encefalico (BAEP, brainstem auditory evoked potential)	Potenziali evocati uditivi far-field (lett. campo lontano), generati in gran parte nel tronco encefalico, in risposta allo stimolo acustico (clic); vengono registrati dalla superficie encefalica come risultato della conduzione di volume (vedi potenziale evocato, potenziale far-field, conduzione di volume).
46	Breach rhythm	EEG activity recorded over or nearby a defect in the skull vault (for example after a fracture, burr hole or craniotomy), of increased amplitude when compared to homologous areas on the opposite side of the head (usually by a factor of less than 3). The rhythm is composed of fast activity with a spiky appearance along with alpha and/or mu rhythms, due to lack of attenuation and distortion by the skull. Comment: a physiological variant to be distinguished from epileptiform activity, although it may be associated with underlying brain injury and therefore a liability to focal seizures.	Ritmo di breccia	Attività EEG registrata in corrispondenza o nelle vicinanze di un difetto nella teca cranica (per esempio dopo una frattura, un foro o una craniotomia). Mostra ampiezza aumentata rispetto ad aree omologhe controlaterali (di solito di un fattore inferiore a 3). Morfologicamente è composto da un'attività rapida con un aspetto puntuto frammisto a ritmi alfa e/o mu, a causa della mancanza di attenuazione e distorsione da parte del cranio. Commento: una variante fisiologica da distinguere dall'attività epilettiforme, anche se può essere associata a una lesione cerebrale sottostante e quindi a una predisposizione a crisi focali.
47	Buffer amplifier	An amplifier, generally with a voltage gain of 1, a high input impedance, and a low output impedance, used to isolate the input signal from the loading effects of an immediately following circuit. In some electroencephalographs, each input is connected to a buffer amplifier located in the jack box to reduce cable artifact and interference.	Amplificatore tampone	Un amplificatore, generalmente con un guadagno di voltaggio di 1, con un'alta impedenza di ingresso e una bassa impedenza di uscita, utilizzato per isolare il segnale di ingresso dagli effetti di carico di un circuito immediatamente successivo. In alcuni elettroencefalografi, ogni ingresso è collegato a un amplificatore tampone situato nella scatola dei connettori per ridurre l'artefatto e le interferenze del cavo.
48	Build-up	Colloquialism. Used to describe progressive increase in voltage of EEG activity or the appearance of slow waves of increasing amplitude. For example during hyperventilation when often associated with decrease in frequency. Sometimes applied to seizure pattern (see seizure pattern).	Aumento	Colloquiale. Usato per descrivere il progressivo aumento di voltaggio dell'attività EEG o la comparsa di onde lente di ampiezza crescente. Per esempio, durante l'iperventilazione, quando è spesso associato ad una diminuzione della frequenza. A volte può costituire il pattern di una crisi (vedi pattern delle crisi).
49	Burst	A group of waves with a minimum of four phases and duration longer than 500 ms which appear and disappear abruptly and are distinguished from background activity by differences in frequency, form and/or amplitude. Comments: (1) term does not imply abnormality. (2) Not a synonym of paroxysm (see paroxysm).	Burst	Un gruppo di onde con un minimo di quattro fasi e una durata superiore a 500 ms che appaiono e scompaiono bruscamente e si distinguono dall'attività di fondo per differenze di frequenza, forma e/o ampiezza. Commenti: (1) il termine non implica anormalità; (2) non è un sinonimo di parossismo (vedi parossismo).
50	Burst suppression	Pattern characterized by paroxysmal bursts of theta and/or delta waves, at times intermixed with sharp and faster waves, alternating with intervening periods of attenuation or suppression (below 10 µV) lasting more than 50% of the record. Comments: EEG pattern that indicates either severe brain dysfunction or is typical for some anesthetic drugs at certain levels of anesthesia. Comment: burst suppression pattern with identical bursts after anoxic brain injury has been reported to portend a poor neurological prognosis.	Burst suppression	Pattern caratterizzato da burst parossistiche di onde theta e/o delta, a volte mescolate a onde puntute più rapide, alternate a periodi di attenuazione (< 20 µV) o soppressione (< 10 µV), che durano più del 50% della registrazione. Commenti: pattern EEG che indica una grave disfunzione cerebrale oppure è l’effetto di alcuni farmaci anestetici a certi livelli di anestesia. Commento: si ritiene che il pattern burst suppression con burst identiche, secondario ad una lesione cerebrale anossica, sia predittivo di una prognosi neurologica negativa.
51	Calibration	Historically, analogue procedure of testing and recording the responses of EEG channels to voltage differences applied to the input terminals of their respective amplifiers. DC (usually) or AC voltages of magnitude comparable to the amplitudes of EEG waves are used in this procedure. In the digital era, instrumental system calibration is either performed with an external signal generator or verified by an internal signal generator within the instrument, which is governed by the software of the system.	Calibrazione	Storicamente, procedura analogica di prova e registrazione delle risposte dei canali EEG alle differenze di voltaggio applicate ai terminali di ingresso dei rispettivi amplificatori. In questa procedura vengono utilizzati voltaggi a corrente diretta (più spesso) o a corrente alternata di ampiezza paragonabile alle ampiezze delle onde EEG. Nell'era digitale, la calibrazione del sistema strumentale viene eseguita con un generatore di segnale esterno o verificata da un generatore di segnale interno allo strumento, che è governato dal software del sistema.
52	Cap, head	A cap that is fitted over the head to hold electrodes in position. Synonym: electrode cap.	Cuffia, testa	Una cuffia che viene applicata sullo scalpo per tenere gli elettrodi in posizione. Sinonimo: cuffia per elettrodi.
